"","n_three_level_gender_mimimean","n_three_level_gender_mixedmean","n_three_level_gender_oneonemean","coef_gender_composition_two_eff_sib0mean","coef_gender_composition_two_eff_se_sib0mean","coef_gender_composition_two_eff_t_sib0mean","coef_gender_composition_two_eff_p_sib0mean","coef_gender_composition_two_eff_sib2mean","coef_gender_composition_two_eff_se_sib2mean","coef_gender_composition_two_eff_t_sib2mean","coef_gender_composition_two_eff_p_sib2mean","coef_con_diffxgender_composition_two_eff_sib2mean","coef_con_diffxgender_composition_two_eff_se_sib2mean","coef_con_diffxgender_composition_two_eff_t_sib2mean","coef_con_diffxgender_composition_two_eff_p_sib2mean"
"30",127.494,255.012,127.494,-0.534532816665292,0.0925747924858653,-5.78632572006964,2.90289639225915e-05,-0.800341273690323,0.127695692707555,-6.27464137309583,2.2479090106572e-06,0.0265828976054489,0.00887278948539583,2.99944156113885,0.0499276147298827
"31",7.507,14.986,7.507,-0.665128494510963,0.442918771027928,-1.54574120624734,0.248967033706776,-0.941456098781003,0.614096684188807,-1.57117079411633,0.239934259360059,0.0275322452372883,0.0424049789326109,0.673472922472981,0.438459408284914
"32",29.949,60.102,29.949,-0.674043504563364,0.21041281525151,-3.22721144816878,0.0205304068755201,-0.953529371210263,0.280647067479334,-3.41249428069534,0.0097722541894511,0.0282712965776008,0.018815981746765,1.50817777879093,0.258061118242086
"33",127.213,255.574,127.213,-0.677284147211929,0.100832527915029,-6.72941388396228,2.78843799455356e-07,-0.94739794332563,0.133862409736693,-7.08104557367848,9.94701286641625e-08,0.0269860338269646,0.00889570454406127,3.03410176090138,0.0487269817970489
"34",7.47,15.06,7.47,-1.18912199981056,0.673159803513682,-1.83264986132283,0.181792563140611,-1.49597437287269,0.799776638934831,-1.92513543802014,0.157086994132081,0.0318573761168779,0.0430974844391228,0.769243338267829,0.406954569767669
"35",29.942,60.116,29.942,-1.15620120867613,0.318253870023945,-3.6588025445979,0.00843450325545322,-1.42780673291219,0.368825505894738,-3.89205091924883,0.00590813277557727,0.0274312676704925,0.0188530389051414,1.46690561467866,0.262195281960901
"36",127.558,254.884,127.558,-1.15236766919297,0.152437482017668,-7.56928269039528,1.92028161539862e-09,-1.43297621929293,0.175990149333965,-8.14746054787145,1.33152868824704e-10,0.0278867728019332,0.00895077033579093,3.1172769007083,0.0383436252393922
"37",7.469,15.062,7.469,-2.54514362440879,0.54442280323244,-5.08336061684417,0.00714613951153571,-2.84744153824618,0.680892091621212,-4.50729551205629,0.00410726587619575,0.0339943443606345,0.0475724281893107,0.656010265678929,0.391387163827998
"38",30.027,59.946,30.027,-2.52468392639835,0.266501080989148,-9.65150774772451,2.39688928416762e-09,-2.8287917956245,0.320566526962352,-8.95092388210487,8.93847963059089e-10,0.0353816017336158,0.021297679201197,1.63798175365342,0.224978042074925
"39",127.581,254.838,127.581,-2.5005363509109,0.13025287263952,-19.2680634259961,1.44195166065373e-46,-2.82964818049986,0.155883267716574,-18.1978431019241,4.62727986700061e-46,0.038000730146297,0.0101960345403422,3.71491328902584,0.0146610418581496
"40",7.524,14.952,7.524,-2.87474894106416,0.673265035541563,-4.59342374558617,0.00561487102526336,-3.18846721744135,0.79182360956593,-4.30254913016256,0.00510644584807987,0.035405418360097,0.048267913002715,0.697742854059531,0.395909659825156
