"","condition","f_p_sib0","f_p_sib1","f_p_sib2","f_p_sib3","coef_intercept_p_sib0","coef_y_mean_p_sib0","coef_con_mean_p_sib0","coef_con_diff_p_sib0","coef_gender_composition_two_eff_p_sib0","coef_intercept_p_sib1","coef_y_mean_p_sib1","coef_con_mean_p_sib1","coef_con_diff_p_sib1","coef_ev1_p_sib1","coef_ev2_p_sib1","coef_intercept_p_sib2","coef_y_mean_p_sib2","coef_con_mean_p_sib2","coef_con_diff_p_sib2","coef_gender_composition_two_eff_p_sib2","coef_con_diffxgender_composition_two_eff_p_sib2","coef_intercept_p_sib3","coef_y_mean_p_sib3","coef_con_mean_p_sib3","coef_con_diff_p_sib3","coef_ev1_p_sib3","coef_ev2_p_sib3","coef_con_diffxev1_p_sib3","coef_con_diffxev2_p_sib3","coef_fixed_Intercept_p_MLM0","coef_fixed_Intercept_p_MLM1","coef_fixed_con_p_MLM1","coef_fixed_catwtn_p_MLM1","coef_fixed_Intercept_p_MLM2","coef_fixed_con_p_MLM2","coef_fixed_catwtn_p_MLM2","coef_fixed_catwtnxcon_p_MLM2","coef_fixed_Intercept_p_MLM3","coef_fixed_con_p_MLM3","coef_fixed_catbtw_p_MLM3","coef_fixed_Intercept_p_MLM4","coef_fixed_con_p_MLM4","coef_fixed_catbtw_p_MLM4","coef_fixed_conxcatbtw_p_MLM4","coef_fixed_Intercept_p_MLM5","coef_fixed_con_p_MLM5","coef_fixed_ev1_p_MLM5","coef_fixed_ev2_p_MLM5","coef_fixed_Intercept_p_MLM6","coef_fixed_con_p_MLM6","coef_fixed_ev1_p_MLM6","coef_fixed_ev2_p_MLM6","coef_fixed_conxev1_p_MLM6","coef_fixed_conxev2_p_MLM6","CN","beta1","beta2","beta3","ICC"
"11",11,1,1,1,1,1,0,0.003,1,1,1,0.006,0.007,1,0.212,0.52,1,0,0.002,1,1,0.222,1,0.01,0.006,1,0.214,0.416,0.004,0.003,0,0.015,1,1,0.016,1,1,0.015,0,1,1,0,1,1,0.009,0.537,1,1,1,0.517,1,1,1,0,0,120,0.3,0.3,0,0.2
"12",12,1,1,1,1,1,0,0.002,1,1,1,0.014,0.013,1,0.827,0.999,1,0,0.001,1,1,0.894,1,0.014,0.012,1,0.898,1,0.05,0.042,0.002,0.007,1,1,0.007,1,1,0.007,0,1,1,0,1,1,0.009,1,1,1,1,1,1,1,1,0,0,510,0.3,0.3,0,0.2
"13",13,0.845,0.81,0.874,0.784,0.996,0,0.001,0.862,0.599,0.887,0.013,0.013,0.851,0.048,0.237,0.954,0.001,0.003,0.871,0.621,0.048,0.545,0.01,0.012,0.742,0.034,0.096,0.006,0.006,0.006,0.013,1,1,0.013,1,1,0.01,0,1,1,0,1,0.998,0.022,0.283,1,1,0.494,0.25,1,0.999,0.433,0,0,30,0.3,0.3,0,0.4
"14",14,1,1,1,1,1,0,0.003,1,0.999,1,0.013,0.012,1,0.153,0.707,1,0.001,0.004,1,1,0.194,1,0.013,0.011,1,0.144,0.556,0.003,0.002,0.003,0.006,1,1,0.006,1,1,0.014,0,1,1,0,1,1,0.012,0.998,1,1,1,0.998,1,1,1,0,0,120,0.3,0.3,0,0.4
"15",15,1,1,1,1,1,0.001,0.003,1,1,1,0.01,0.011,1,0.689,1,1,0,0.003,1,1,0.886,1,0.009,0.012,1,0.803,1,0.061,0.042,0.002,0.011,1,1,0.012,1,1,0.014,0,1,1,0,1,1,0.013,1,1,1,1,1,1,1,1,0,0,510,0.3,0.3,0,0.4
"16",16,0.869,0.832,0.877,0.777,0.999,0.008,0.004,0.878,0.279,0.568,0.017,0.016,0.858,0.032,0.275,0.971,0.004,0.005,0.886,0.264,0.043,0.376,0.011,0.013,0.748,0.021,0.122,0.002,0.007,0.006,0.01,1,1,0.009,1,1,0.011,0,1,1,0.001,1,1,0.018,1,1,1,0.206,0.997,1,1,0.151,0,0,30,0.3,0.3,0,0.8
"17",17,1,1,1,1,1,0,0,0.999,0.782,1,0.012,0.01,0.999,0.059,0.776,1,0,0,1,0.926,0.217,0.979,0.012,0.009,1,0.065,0.64,0.003,0.006,0.005,0.01,1,1,0.01,1,1,0.006,0,1,1,0,1,1,0.014,1,1,1,0.986,1,1,1,0.98,0.001,0,120,0.3,0.3,0,0.8
"18",18,1,1,1,1,1,0,0.001,1,1,1,0.005,0.004,1,0.345,1,1,0,0,1,1,0.886,1,0.004,0.004,1,0.432,1,0.053,0.049,0.008,0.015,1,1,0.015,1,1,0.013,0,1,1,0,1,1,0.006,1,1,1,1,1,1,1,1,0,0,510,0.3,0.3,0,0.8
"19",19,0.988,0.982,0.991,0.98,1,0.009,0.006,0.924,0.995,0.998,0.005,0.005,0.918,0.223,0.649,1,0.012,0.005,0.921,0.995,0.036,0.928,0.005,0.008,0.881,0.165,0.457,0.008,0.009,0,0.013,1,1,0.012,1,1,0.011,0,0.968,0.867,0,0.948,0.835,0.027,0.019,1,1,0.986,0.012,0.993,1,0.973,0,0,30,0.3,0.5,0,0.2
"20",20,1,1,1,1,1,0.002,0.005,1,1,1,0.009,0.009,1,0.653,0.959,1,0.002,0.003,1,1,0.092,1,0.012,0.008,1,0.623,0.923,0.013,0.01,0,0.005,1,1,0.005,1,1,0.01,0,1,1,0,1,1,0.011,0.838,1,1,1,0.825,1,1,1,0,0,120,0.3,0.5,0,0.2
