"","f_p_sib0","f_p_sib1","f_p_sib2","f_p_sib3","coef_intercept_p_sib0","coef_y_mean_p_sib0","coef_con_mean_p_sib0","coef_con_diff_p_sib0","coef_gender_composition_two_eff_p_sib0","coef_intercept_p_sib1","coef_y_mean_p_sib1","coef_con_mean_p_sib1","coef_con_diff_p_sib1","coef_ev1_p_sib1","coef_ev2_p_sib1","coef_intercept_p_sib2","coef_y_mean_p_sib2","coef_con_mean_p_sib2","coef_con_diff_p_sib2","coef_gender_composition_two_eff_p_sib2","coef_con_diffxgender_composition_two_eff_p_sib2","coef_intercept_p_sib3","coef_y_mean_p_sib3","coef_con_mean_p_sib3","coef_con_diff_p_sib3","coef_ev1_p_sib3","coef_ev2_p_sib3","coef_con_diffxev1_p_sib3","coef_con_diffxev2_p_sib3","coef_fixed_Intercept_p_MLM0","coef_fixed_Intercept_p_MLM1","coef_fixed_con_p_MLM1","coef_fixed_catwtn_p_MLM1","coef_fixed_Intercept_p_MLM2","coef_fixed_con_p_MLM2","coef_fixed_catwtn_p_MLM2","coef_fixed_catwtnxcon_p_MLM2","coef_fixed_Intercept_p_MLM3","coef_fixed_con_p_MLM3","coef_fixed_catbtw_p_MLM3","coef_fixed_Intercept_p_MLM4","coef_fixed_con_p_MLM4","coef_fixed_catbtw_p_MLM4","coef_fixed_conxcatbtw_p_MLM4","coef_fixed_Intercept_p_MLM5","coef_fixed_con_p_MLM5","coef_fixed_ev1_p_MLM5","coef_fixed_ev2_p_MLM5","coef_fixed_Intercept_p_MLM6","coef_fixed_con_p_MLM6","coef_fixed_ev1_p_MLM6","coef_fixed_ev2_p_MLM6","coef_fixed_conxev1_p_MLM6","coef_fixed_conxev2_p_MLM6","condition"
"72",1,1,1,1,1,1,1,1,1,1,0.993,0.966,1,0.796,1,1,1,1,1,1,0.678,1,1,0.996,1,1,1,1,1,0.043,0.044,1,1,0.045,1,1,1,0.011,1,1,0.01,1,1,0.063,1,1,1,1,1,1,1,1,1,1,72
"73",1,1,0.999,1,1,0.498,0.129,0.741,0.993,1,0.239,0.136,0.719,0.229,0.53,1,0.462,0.134,0.706,0.991,0.115,0.905,0.247,0.204,0.88,0.464,0.301,0.727,0.761,0.013,0.046,1,1,0.051,1,1,1,0.002,0.974,0.973,0,0.967,0.964,0.076,0.177,0.998,1,0.915,0.163,0.999,1,0.944,0.815,0.807,73
"74",1,1,1,1,1,0.969,0.327,0.998,1,1,0.601,0.266,0.999,0.649,0.986,1,0.97,0.329,0.999,1,0.136,1,0.61,0.413,1,0.995,0.679,1,1,0.021,0.061,1,1,0.059,1,1,1,0,1,1,0,1,1,0.077,0.831,1,1,1,0.924,1,1,1,1,1,74
"75",1,1,1,1,1,1,0.875,1,1,1,0.983,0.752,1,0.999,1,1,1,0.876,1,1,0.131,1,0.985,0.864,1,1,0.993,1,1,0.017,0.035,1,1,0.035,1,1,1,0.001,1,1,0.001,1,1,0.08,1,1,1,1,1,1,1,1,1,1,75
"76",0.999,0.998,0.999,1,1,0.471,0.044,0.666,0.985,0.995,0.203,0.07,0.645,0.211,0.721,1,0.447,0.039,0.638,0.984,0.077,0.784,0.23,0.102,0.842,0.434,0.34,0.705,0.707,0.025,0.057,0.999,1,0.049,1,1,0.998,0.002,0.997,1,0.002,0.992,1,0.073,0.632,1,1,0.459,0.624,1,1,0.476,0.603,0.597,76
"77",1,1,1,1,1,0.97,0.064,1,1,1,0.592,0.075,1,0.651,1,1,0.971,0.061,1,1,0.102,1,0.626,0.132,1,0.977,0.921,0.999,1,0.021,0.047,1,1,0.048,1,1,1,0.001,1,1,0.003,1,1,0.072,1,1,1,0.998,1,1,1,0.998,1,1,77
"78",1,1,1,1,1,1,0.051,1,1,1,0.988,0.074,1,0.996,1,1,1,0.05,1,1,0.112,1,0.988,0.131,1,1,1,1,1,0.018,0.047,1,1,0.047,1,1,1,0.001,1,1,0.001,1,1,0.058,1,1,1,1,1,1,1,1,1,1,78
"79",1,0.997,0.999,1,1,0.436,0.229,0.648,0.882,0.671,0.196,0.138,0.617,0.211,0.84,1,0.414,0.197,0.598,0.872,0.089,0.401,0.217,0.149,0.8,0.338,0.568,0.658,0.646,0.039,0.048,1,1,0.044,1,1,0.593,0.002,1,1,0.002,1,1,0.056,1,1,1,0.76,0.997,1,1,0.701,0.143,0.138,79
"80",1,1,1,1,1,0.986,0.794,0.999,1,1,0.584,0.393,0.998,0.628,1,1,0.985,0.786,0.998,1,0.098,0.879,0.646,0.45,1,0.938,1,1,1,0.054,0.058,1,1,0.059,1,1,0.995,0.001,1,1,0.001,1,1,0.053,1,1,1,1,1,1,1,1,0.766,0.756,80
"81",1,1,1,1,1,1,1,1,1,1,0.995,0.901,1,0.997,1,1,1,1,1,1,0.094,1,0.996,0.923,1,1,1,1,1,0.049,0.056,1,1,0.054,1,1,1,0.001,1,1,0.001,1,1,0.059,1,1,1,1,1,1,1,1,1,1,81
"82",0.696,0.677,0.711,0.933,1,0.08,0.047,0.766,0.063,0.999,0.067,0.042,0.457,0.107,0.089,0.998,0.074,0.055,0.712,0.062,0.218,0.547,0.068,0.055,0.76,0.104,0.027,0.902,0.822,0.045,0.045,0.998,0.321,0.052,1,0.539,1,0.04,0.996,0.211,0.038,0.996,0.208,0.095,0.057,0.997,0.278,0.075,0.064,0.998,0.294,0.049,0.968,0.972,82
"83",1,1,1,1,1,0.135,0.082,1,0.051,1,0.1,0.086,0.982,0.349,0.414,1,0.126,0.078,1,0.103,0.627,1,0.169,0.101,1,0.893,0.472,1,1,0.032,0.043,1,0.852,0.045,1,0.974,1,0.036,1,0.704,0.038,1,0.711,0.103,0.119,1,0.845,0.104,0.122,1,0.89,0.107,1,1,83
"84",1,1,1,1,1,0.318,0.12,1,0.074,1,0.206,0.154,1,0.931,0.99,1,0.302,0.1,1,0.291,0.992,1,0.388,0.175,1,1,1,1,1,0.05,0.053,1,1,0.04,1,1,1,0.037,1,1,0.039,1,1,0.102,0.404,1,1,0.345,0.454,1,1,0.349,1,1,84
"85",0.668,0.652,0.682,0.927,1,0.068,0.047,0.758,0.053,1,0.064,0.041,0.452,0.108,0.091,0.999,0.063,0.041,0.717,0.066,0.224,0.532,0.072,0.041,0.719,0.096,0.033,0.879,0.796,0.04,0.053,1,0.308,0.049,1,0.412,0.988,0.04,1,0.517,0.041,1,0.507,0.078,0.115,1,0.392,0.043,0.108,1,0.392,0.053,0.831,0.848,85
"86",0.999,1,0.999,1,1,0.128,0.07,0.999,0.073,1,0.1,0.061,0.978,0.358,0.487,1,0.118,0.064,1,0.139,0.631,1,0.138,0.057,1,0.884,0.479,1,1,0.037,0.044,1,0.818,0.053,1,0.905,1,0.031,1,0.99,0.038,1,0.992,0.089,0.264,1,0.946,0.041,0.274,1,0.954,0.044,1,1,86
"87",1,1,1,1,1,0.315,0.066,1,0.101,1,0.211,0.049,1,0.93,0.987,1,0.295,0.051,1,0.359,0.989,1,0.385,0.067,1,1,1,1,1,0.043,0.058,1,1,0.055,1,1,1,0.049,1,1,0.048,1,1,0.091,0.793,1,1,0.054,0.814,1,1,0.055,1,1,87
"88",0.675,0.664,0.698,0.911,1,0.072,0.065,0.766,0.072,1,0.061,0.058,0.477,0.095,0.114,0.999,0.062,0.064,0.72,0.083,0.238,0.471,0.06,0.055,0.722,0.104,0.039,0.864,0.777,0.055,0.047,1,0.246,0.045,1,0.267,0.369,0.039,1,0.999,0.044,1,0.999,0.046,0.332,1,0.845,0.231,0.301,1,0.785,0.238,0.272,0.291,88
"89",1,1,0.999,1,1,0.119,0.085,0.999,0.088,1,0.085,0.062,0.978,0.277,0.479,1,0.12,0.083,0.999,0.15,0.642,1,0.131,0.093,1,0.867,0.546,1,1,0.056,0.043,1,0.742,0.051,1,0.771,0.922,0.049,1,1,0.048,1,1,0.067,0.923,1,1,0.802,0.918,1,1,0.796,0.706,0.714,89
"90",1,1,1,1,1,0.326,0.236,1,0.177,1,0.193,0.137,1,0.845,0.994,1,0.28,0.211,1,0.416,0.991,1,0.361,0.261,1,1,1,1,1,0.047,0.045,1,1,0.042,1,1,1,0.039,1,1,0.042,1,1,0.057,1,1,1,1,1,1,1,1,0.999,0.999,90
"91",0.827,0.788,0.823,0.969,1,0.147,0.101,0.597,0.208,0.999,0.101,0.11,0.42,0.052,0.132,1,0.117,0.1,0.562,0.227,0.173,0.592,0.141,0.12,0.704,0.254,0.073,0.857,0.764,0.033,0.054,0.99,0.992,0.058,1,1,1,0.02,0.983,0.786,0.017,0.979,0.775,0.107,0.143,0.991,0.968,0.216,0.152,0.995,0.976,0.251,0.96,0.975,91
"92",1,1,1,1,1,0.46,0.256,0.989,0.708,1,0.298,0.323,0.966,0.059,0.618,1,0.393,0.265,0.99,0.792,0.502,0.999,0.495,0.365,1,0.989,0.557,1,1,0.043,0.057,1,1,0.06,1,1,1,0.025,1,1,0.019,1,1,0.116,0.488,1,1,0.75,0.597,1,1,0.863,1,1,92
"93",1,1,1,1,1,0.931,0.774,1,0.998,1,0.714,0.897,1,0.059,0.999,1,0.918,0.789,1,1,0.952,1,0.973,0.926,1,1,1,1,1,0.043,0.071,1,1,0.056,1,1,1,0.029,1,1,0.031,1,1,0.104,0.986,1,1,1,1,1,1,1,1,1,93
"94",0.776,0.732,0.78,0.936,1,0.139,0.051,0.576,0.228,0.997,0.102,0.058,0.402,0.048,0.159,1,0.108,0.045,0.551,0.244,0.185,0.518,0.108,0.038,0.638,0.189,0.051,0.837,0.701,0.036,0.055,0.999,0.974,0.048,1,0.993,0.993,0.022,0.999,0.999,0.021,0.998,0.998,0.072,0.317,1,0.993,0.05,0.33,0.997,0.988,0.046,0.836,0.838,94
"95",1,1,1,1,1,0.439,0.059,0.994,0.681,1,0.249,0.073,0.942,0.062,0.702,1,0.368,0.053,0.993,0.749,0.524,1,0.428,0.062,1,0.971,0.693,1,1,0.029,0.034,1,1,0.04004004004004,1,1,1,0.023,1,1,0.026,1,1,0.091,0.922,1,1,0.129,0.946,1,1,0.132,1,1,95
"96",1,1,1,1,1,0.95,0.049,1,0.999,1,0.729,0.124,1,0.049,1,1,0.922,0.061,1,1,0.966,1,0.981,0.072,1,1,1,1,1,0.033,0.043,1,1,0.042,1,1,1,0.021,1,1,0.019,1,1,0.084,1,1,1,0.41,1,1,1,0.446,1,1,96
"97",0.697,0.659,0.723,0.899,1,0.129,0.092,0.526,0.191,0.978,0.113,0.083,0.379,0.067,0.191,0.999,0.112,0.075,0.504,0.194,0.187,0.299,0.139,0.092,0.6,0.221,0.119,0.819,0.675,0.06,0.049,1,0.923,0.048,1,0.92,0.401,0.018,1,1,0.027,1,1,0.05,0.971,1,1,0.785,0.946,0.999,0.999,0.727,0.262,0.279,97
"98",1,1,1,1,1,0.419,0.265,0.979,0.606,1,0.252,0.145,0.913,0.078,0.786,1,0.364,0.217,0.977,0.643,0.551,0.978,0.45,0.272,1,0.951,0.948,1,1,0.047,0.048,1,1,0.052,1,1,0.949,0.019,1,1,0.018,1,1,0.042,1,1,1,1,1,1,1,1,0.809,0.777,98
"99",1,1,1,1,1,0.944,0.746,1,0.998,1,0.725,0.426,1,0.146,1,1,0.927,0.664,1,0.999,0.973,1,0.979,0.816,1,1,1,1,1,0.051,0.058,1,1,0.056,1,1,1,0.013,1,1,0.014,1,1,0.058,1,1,1,1,1,1,1,1,1,1,99
"100",0.952,0.916,0.935,0.995,1,0.181,0.214,0.454,0.629,0.999,0.145,0.208,0.395,0.112,0.191,1,0.162,0.222,0.44,0.632,0.141,0.723,0.18,0.218,0.602,0.35,0.125,0.777,0.7,0.024,0.056,0.973,1,0.07,1,1,1,0.012,0.927,0.934,0.011,0.903,0.932,0.08,0.168,0.967,1,0.58,0.195,0.98,1,0.666,0.942,0.931,100
"101",1,1,1,1,1,0.487,0.72,0.96,0.997,1,0.337,0.708,0.958,0.287,0.76,1,0.413,0.734,0.961,0.998,0.258,1,0.544,0.778,1,0.99,0.686,1,1,0.019,0.033,1,1,0.04,1,1,1,0.009,1,1,0.008,1,1,0.089,0.735,1,1,0.998,0.843,1,1,1,1,1,101
"102",1,1,1,1,1,0.952,0.997,1,1,1,0.798,0.999,1,0.769,1,1,0.917,0.998,1,1,0.707,1,0.972,1,1,1,1,1,1,0.029,0.064,1,1,0.052,1,1,1,0.011,1,1,0.01,1,1,0.084,1,1,1,1,1,1,1,1,1,1,102
"103",0.936,0.901,0.936,0.979,1,0.163,0.08,0.437,0.53,0.996,0.14,0.075,0.401,0.132,0.229,1,0.13,0.079,0.419,0.513,0.159,0.588,0.15,0.064,0.547,0.322,0.12,0.753,0.605,0.034,0.056,0.976,1,0.05,0.996,1,0.992,0.008,0.987,1,0.006,0.978,1,0.088,0.512,0.999,1,0.166,0.527,0.988,0.999,0.16,0.763,0.792,103
"104",1,1,1,1,1,0.505,0.173,0.934,0.984,1,0.326,0.181,0.916,0.271,0.887,1,0.416,0.196,0.941,0.981,0.282,0.999,0.558,0.151,1,0.984,0.859,1,1,0.023,0.043,1,1,0.045,1,1,1,0.004,1,1,0.004,1,1,0.06,0.994,1,1,0.593,0.997,1,1,0.682,1,1,104
"105",1,1,1,1,1,0.971,0.496,1,1,1,0.842,0.561,1,0.799,1,1,0.941,0.582,1,1,0.742,1,0.988,0.423,1,1,1,1,1,0.022,0.04,1,1,0.04,1,1,1,0.005,1,1,0.006,1,1,0.063,1,1,1,1,1,1,1,1,1,1,105
"106",0.876,0.818,0.875,0.954,1,0.155,0.074,0.386,0.312,0.904,0.122,0.07,0.352,0.101,0.272,1,0.121,0.059,0.381,0.272,0.122,0.255,0.134,0.089,0.509,0.245,0.239,0.748,0.576,0.054,0.058,0.989,1,0.0560560560560561,0.990990990990991,0.997997997997998,0.533533533533533,0.01,1,1,0.014,1,1,0.048,0.999,1,1,0.849,0.993,1,1,0.808,0.272,0.262,106
"107",1,1,1,1,1,0.542,0.217,0.907,0.871,1,0.324,0.14,0.862,0.306,0.9,1,0.429,0.16,0.924,0.846,0.307,0.886,0.551,0.271,0.999,0.94,0.994,1,1,0.046,0.058,1,1,0.058,1,1,0.98,0.004,1,1,0.004,1,1,0.051,1,1,1,1,1,1,1,1,0.852,0.825,107
"108",1,1,1,1,1,0.98,0.693,1,1,1,0.837,0.414,1,0.844,1,1,0.962,0.539,1,1,0.798,1,0.994,0.809,1,1,1,1,1,0.041,0.046,1,1,0.046,1,1,1,0.009,1,1,0.009,1,1,0.058,1,1,1,1,1,1,1,1,1,1,108
"109",1,1,1,1,0.532,0.059,0.055,1,0.041,0.501,0.062,0.055,1,0.048,0.063,0.511,0.055,0.057,1,0.031,0.053,0.428,0.06,0.055,0.994,0.052,0.041,0.063,0.065,0.046,0.038,1,0.046,0.035,1,0.046,0.062,0.039,1,0.041,0.041041041041041,1,0.043043043043043,0.0600600600600601,0.04,1,0.058,0.05,0.048,1,0.058,0.052,0.054,0.058,109
"110",1,1,1,1,0.993,0.052,0.057,1,0.051,0.993,0.053,0.055,1,0.057,0.031,0.995,0.051,0.057,1,0.044,0.074,0.985,0.053,0.058,1,0.031,0.031,0.054,0.055,0.045,0.05,1,0.054,0.049,1,0.054,0.054,0.047,1,0.045,0.047,1,0.046,0.053,0.052,1,0.053,0.056,0.054,1,0.053,0.055,0.066,0.05,110
"111",1,1,1,1,1,0.049,0.055,1,0.052,1,0.049,0.052,1,0.062,0.058,1,0.046,0.051,1,0.049,0.085,1,0.048,0.047,1,0.035,0.043,0.077,0.075,0.041,0.047,1,0.05,0.049,1,0.049,0.07,0.046,1,0.047,0.045,1,0.049,0.045,0.053,1,0.044,0.05,0.051,1,0.044,0.052,0.048,0.064,111
"112",1,1,1,0.999,0.542,0.045,0.04,1,0.055,0.525,0.044,0.046,1,0.057,0.05,0.51,0.049,0.046,0.999,0.03,0.065,0.413,0.049,0.047,0.993,0.038,0.027,0.05,0.046,0.0560560560560561,0.0510510510510511,1,0.0600600600600601,0.048,1,0.064,0.056,0.048048048048048,1,0.04004004004004,0.043,1,0.046,0.056,0.044044044044044,1,0.0560560560560561,0.0580580580580581,0.046,1,0.056,0.054,0.039,0.052,112
"113",1,1,1,1,0.995,0.06,0.049,1,0.042,0.994,0.065,0.05,1,0.059,0.054,0.996,0.06,0.049,1,0.035,0.067,0.981,0.067,0.05,1,0.04,0.037,0.08,0.065,0.052,0.05,1,0.057,0.051,1,0.053,0.057,0.048,1,0.052,0.05,1,0.053,0.052,0.053,1,0.049,0.043,0.053,1,0.048,0.041,0.059,0.051,113
"114",1,1,1,1,1,0.044,0.048,1,0.054,1,0.044,0.05,1,0.049,0.056,1,0.044,0.048,1,0.039,0.074,1,0.046,0.052,1,0.04,0.046,0.065,0.065,0.058,0.056,1,0.062,0.056,1,0.06,0.052,0.056,1,0.058,0.057,1,0.056,0.048,0.054,1,0.05,0.047,0.051,1,0.047,0.049,0.057,0.05,114
"115",1,1,1,1,0.552,0.07,0.064,1,0.037,0.515,0.07,0.066,1,0.044,0.05,0.521,0.061,0.059,1,0.028,0.05,0.42,0.068,0.065,0.993,0.047,0.042,0.07,0.068,0.053,0.031,1,0.051,0.034,1,0.048,0.058,0.034,1,0.052,0.039,1,0.048,0.052,0.032,1,0.039,0.039,0.038,1,0.048,0.051,0.05,0.06,115
"116",1,1,1,1,0.996,0.055,0.049,1,0.044,0.994,0.051,0.048,1,0.048,0.041,0.994,0.055,0.049,1,0.032,0.055,0.974,0.048,0.049,1,0.048,0.039,0.076,0.077,0.064,0.044,1,0.049,0.045,1,0.05,0.051,0.048,1,0.052,0.05,1,0.053,0.049,0.051,1,0.042,0.051,0.052,1,0.047,0.052,0.042,0.045,116
"117",1,1,1,1,1,0.051,0.051,1,0.057,1,0.049,0.049,1,0.049,0.03,1,0.053,0.052,1,0.045,0.072,1,0.05,0.05,1,0.036,0.028,0.068,0.056,0.073,0.044,1,0.038,0.044,1,0.037,0.053,0.044,1,0.052,0.045,1,0.056,0.052,0.038,1,0.041,0.044,0.038,1,0.041,0.043,0.054,0.043,117
